spp_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Hormonema sp. BF13,658032,-,-,F
Phoma sp.,197743,T,mrcaott4380ott4381,T
Cryptomonas sp. CNUCRY 75,5580281,-,-,F
Mucilaginibacter gracilis,707691,-,-,T
Porpitidae,627423,-,-,T
Opiliones,4428,-,-,T
Robiginitalea sp. CAU 1307,5993306,-,-,F
Syntrophobacterales,623140,T,mrcaott50ott140429,T
Chlamydomonas sp. CCAP 11/151,307490,-,-,F
Pseudocyrtolophosis alpestris,515898,-,-,T
Sebacina sp. UC2022810,5985307,-,-,F
Sphingomonas sp.,683414,-,-,T
Tausonia pullulans,5277206,-,-,F
Lagynion scherffelii,315026,-,-,T
Pseudomonas pohangensis,790409,-,-,T
Limnobacter thiooxidans,565441,-,-,T
[Clostridium] termitidis,None,-,-,F
Paraburkholderia graminis,481277,-,-,T
Rhizophlyctis rosea,810452,-,-,T
Actinomycetospora cinnamomea,10393,-,-,T
Lolium multiflorum,135777,-,-,T
Vagococcus lutrae,675346,-,-,T
Acholeplasma sp. enrichment culture,None,-,-,F
Anisolpidium ectocarpii,5656413,-,-,T
Devriesia sp. BC07-23,5715061,-,-,F
Gemmobacter megaterium,718358,-,-,T
Zopfiella lundqvistii,3695528,-,-,T
Uronema heteromarinum,241251,-,-,T
Zavarzinella formosa,558181,-,-,T
Holospora acuminata,510673,-,-,T
Goniomonas sp. SH-5,375895,-,-,F
Pedobacter boryungensis,571871,-,-,T
Teratosphaeria gauchensis,70421,-,-,T
Postia sp. 1 KUC20130808-38,5984792,-,-,T
Holothuroidea,699706,-,-,T
Virgibacillus zhanjiangensis,146278,-,-,T
Chrysomelidae,567698,T,ott765489,T
Detonula pumila,470946,-,-,T
Psilopezia juruensis,179928,-,-,T
Amphritea japonica,260526,-,-,T
Thermaerobacter sp.,634974,-,-,T
Longidorus elongatus,441130,-,-,T
Azospirillum sp. enrichment culture clone Van11,5169900,-,-,T
Navicula phyllepta,253193,-,-,T
Stephanodiscus minutulus,886901,-,-,T
Papiliotrema flavescens,101341,-,-,T
Geobacter sp. enrichment culture,None,-,-,F
Myzocytiopsis sp. venatrix,516929,-,-,T
Laurencia nipponica,17680,-,-,T
Gastropoda,409995,-,-,T
Ascozonus woolhopensis,588180,-,-,T
Sediminispirochaeta bajacaliforniensis,353613,-,-,T
Preussia antarctica,195997,-,-,T
Caldanaerobacter subterraneus,111152,-,-,T
Alkaliphilus sp. LacV,5365279,-,-,F
Diplasiolejeunea leiocarpa,286181,-,-,T
Myriococcum praecox,3840418,-,-,T
Psychrobacter sp. NB041,1048227,-,-,F
Flavihumibacter cheonanensis,5361961,-,-,T
Cladosporium ramotenellum,890664,-,-,T
Arthrobacter sp. CAB1,250742,-,-,T
Geastrum hungaricum,910598,-,-,T
Roseovarius aquimarinus,272376,-,-,T
Erythrotrichia carnea,280885,-,-,T
Herbaspirillum sp. 3R-12,5237140,-,-,F
Sphingomonas sp. TSK-1,5380560,-,-,F
Flavobacterium sp. NR3b2,659024,-,-,T
Pseudomonas sp. CPE30,738325,-,-,T
Sphingomonas sp. MN 149.3,1002265,-,-,F
Peziza sp. KH-00.020,857806,-,-,T
Olsenella sp. D6,5651982,-,-,F
Ammoniphilus oxalaticus,917557,-,-,T
Aspergillus kawachii,339287,-,-,T
Monoblepharidales,305126,-,-,T
Bothrioneurum vejdovskyanum,1020273,-,-,T
Corallinaceae,238997,-,-,T
Maribacter sp. 1_2014MBL_MicDiv,5886933,-,-,F
Desulfococcus multivorans,165133,-,-,T
Crocinitomicaceae,5886384,-,-,F
Paenibacillus sp. DUSK 64,5894154,-,-,F
Astatumen trinacriae,960819,-,-,T
Phaeosphaeria sp. 20081120,244044,-,-,F
Scleropodium touretii,925534,-,-,T
Malassezia restricta,604329,-,-,F
Protoeuglena noctilucae,5419009,-,-,T
Pythium iwayamai,883079,-,-,T
Uroglena sp. CCMP2768,822557,-,-,T
Cymbopleura naviculiformis,882499,-,-,T
Thalassiosira sp. UNC1417,7559249,-,-,F
Dactylaria dimorphospora,1019693,-,-,F
Chloroflexus islandicus,5604770,-,-,T
Clostridium cadaveris,68312,-,-,T
Blepharipoda occidentalis,1016528,-,-,T
Iamia sp. T2-YC6790,676669,-,-,T
Durinskia kwazulunatalensis,5663582,-,-,T
Lecythophora sp. YP363,364482,-,-,F
Microxysma acutum,22061,-,-,T
Hymenobacter sp. SAFR-033,583065,-,-,T
Mariprofundus ferrinatatus,7039712,-,-,T
Catenulostroma protearum,1092117,-,-,T
Piskurozyma capsuligena,133078,-,-,T
Entoloma alpicola,926799,-,-,T
Bdellovibrio sp. MPA,675203,-,-,F
Acinetobacter junii,989476,-,-,T
Defluviicoccus vanus,269505,-,-,T
Mycale fibrexilis,173161,-,-,T
Jania sp. ARS-2011,149484,-,-,F
Parengyodontium album,44265,-,-,T
Rhizophlyctis harderi,586190,-,-,T
Pseudomonas sp. S11108,5378461,-,-,F
Zymobacter palmae,108695,-,-,T
Volvariella gloiocephala,333126,-,-,T
Thermophagus xiamenensis,608033,-,-,T
Pythium marsipium,477246,-,-,T
Spirosoma soli,5886333,-,-,T
Porticoccaceae,5587897,-,-,F
Cladorhiza corallophila,6374255,-,-,T
Poecilostomatoida,451819,T,ott754178,T
Halomonadaceae,578817,-,-,T
Rigidohymena candens,749621,-,-,T
Ilumatobacter coccineus,4769352,-,-,F
Thecaphora amaranthi,469128,-,-,T
Paramenophia sp. New Caledonia-RJH-2007,879897,-,-,T
Asterionellopsis tropicalis,6388869,-,-,T
Fissidens bryoides,960272,-,-,T
Opitutus sp. WS3(2011),102601,-,-,T
Cryptomonas obovoidea,913710,-,-,T
Anaeromyxobacter sp. Fw109-5,60668,-,-,T
Tanaidacea,42636,-,-,T
Cryptosporidium parvum,775251,-,-,T
Degelia plumbea,583157,-,-,T
Myzocytiopsis osiris,2811373,-,-,T
Modestobacter sp. x4y5,5879762,-,-,F
Veneroida,7492619,-,-,F
Zygonemertes virescens,130104,-,-,F
Dicranales,821363,T,mrcaott1769ott86147,T
Acidisphaera sp. L21,5635572,-,-,F
Polynoidae,1067347,-,-,T
Idiomarinaceae,740996,-,-,T
Bacillus foraminis,162407,-,-,T
Thermomonas haemolytica,297437,-,-,T
Oceanobacillus sp.,152720,-,-,T
Phaeosphaeria sp. CPC 11894,5221370,-,-,F
Neochloris sp. AY2,5661915,-,-,F
Vibrio anguillarum,944566,-,-,T
Pseudokeronopsis rubra,944244,-,-,T
Pythium monospermum,753696,-,-,T
Vitreochlamys nekrassovii,921418,-,-,T
Rhodotorula subericola,4095274,-,-,T
Pseudomonas oleovorans,35171,-,-,T
Haptorida,546634,-,-,F
Thinonoma atra,4645682,-,-,T
Myrmecridium spartii,5682587,-,-,T
Jeotgalibacillus campisalis,781127,-,-,T
Ramularia helminthiae,3718852,-,-,T
Diplodia corticola,488127,-,-,T
Pseudoalteromonas sp. BSw20252,542659,-,-,T
Discocephalus ehrenbergi,884745,-,-,T
Peronospora trifolii-hybridi,5400273,-,-,T
Desulfosporomusa polytropa,285240,-,-,T
Pseudovalsaria ferruginea,4054923,-,-,T
Tetragoniomycetaceae,5260755,-,-,T
Thiohalospira halophila,33965,-,-,T
Kentrophoros flavus,1082480,-,-,T
Dechloromonas sp. MissR,734677,-,-,T
Aureimonas sp. AU22,5896814,-,-,F
Klebsormidium sp. SAG 37.86,5923125,-,-,F
Pontibacter sp. AT03-04,5614038,-,-,F
Sinophysis grandis,636636,-,-,T
Sarcosoma mexicanum,283844,-,-,T
Desulfovibrio halophilus,386591,-,-,T
Capitellidae,966425,-,-,T
Isididae,157409,T,mrcaott3692ott87416,T
Pseudococcidae,161180,-,-,T
Sphingobacterium sp. TPD04,532447,-,-,T
Megasphaera micronuciformis,1041265,-,-,T
Amynthas longicaeca,7487472,-,-,T
Ossicaulis lachnopus,5686484,-,-,T
Coprinellus verrucispermus,8756,-,-,T
Litostomatea,546633,-,-,T
Amphiprora paludosa,776171,-,-,T
Trematosphaeria sp. HR-2-1,5978974,-,-,F
Chromulinaceae,908565,-,-,F
Ceratobasidium cereale,958815,-,-,T
Uliginosibacterium sp. SS1-76,5997713,-,-,T
Laurencia snackeyi,4012324,-,-,T
Leiomenia cribrosa,786295,-,-,T
Rhinocladiella sp. S1,36911,-,-,F
Zausodes septimus,379155,-,-,T
Ulvophyceae,755481,T,mrcaott185ott1426,T
Nitrospira enrichment culture clone GaII,5160441,-,-,T
Klebsormidium sp. BIOTA 14614.18.24,60711,-,-,T
Pseudo-nitzschia calliantha,303162,-,-,T
Microstroma bacarum,4095348,-,-,T
Chloroflexus sp. WC3-1,494502,-,-,F
Catenulostroma hermanusense,408219,-,-,T
Halocella cellulosilytica,13560,-,-,T
Oceaniovalibus sp. CPA-138,5899846,-,-,F
Lepista nuda,1080645,-,-,T
Tubeufiaceae,1051949,-,-,T
Raphidonema nivale,941092,-,-,T
Actinochloris sp. WJT24VFNP16,945612,-,-,F
Rudaea sp. YC6842,4785596,-,-,F
Vibrio sp. enrichment culture clone DMS02,None,-,-,F
Haliscomenobacter sp. JJ019,553443,-,-,F
Parafabraea eucalypti,321135,-,-,T
Tilletiaria anomala,449875,-,-,T
Hormonema carpetanum,850242,-,-,T
Halistemma rubrum,486585,-,-,T
Paracraurococcus ruber,374392,-,-,T
Tricholomopsis decora,835499,-,-,T
Chlamydomonas peterfii,801328,-,-,T
Spatangoida,531395,-,-,T
Tomentella sp. 15 SGT-2012,147991,-,-,F
Chlorobiaceae,283891,-,-,T
Hydrodictyaceae,425644,-,-,T
Vallitalea pronyensis,5242380,-,-,T
Chrysophyceae,8031327,T,mrcaott6033ott15572,T
Magnaporthiopsis agrostidis,5982291,-,-,T
Prorocentrum glenanicum,224051,-,-,T
Permianibacter aggregans,5625421,-,-,T
Curvibacter fontanus,4777999,-,-,T
Mycocentrospora acerina,260936,-,-,F
Kuklikophrya ougandae,876951,-,-,T
Sporacetigenium mesophilum,640395,-,-,T
Coleoptera,865243,-,-,T
Geminigera cryophila,492487,-,-,T
Amycolatopsis plumensis,785420,-,-,T
Tamilnaduibacter salinus,5377810,-,-,T
Anthoxanthum odoratum,188813,-,-,T
Hygroaster nodulisporus,144642,-,-,T
Marinifilum albidiflavum,5886147,-,-,F
Methylobacter luteus,603980,-,-,T
Anaerovorax sp. enrichment culture clone D2CL_Bac_16S_Clone16,None,-,-,F
Phaeosphaeria halima,115748,-,-,T
Rhizophysa filiformis,486579,-,-,T
Synmerosyllis yolandae,332197,-,-,T
Dominikia difficilevidera,5670546,-,-,T
Kockovaella sichuanensis,330869,-,-,T
Roseobacter sp. D4024,837249,-,-,F
Caldicoprobacter oshimai,1083609,-,-,T
Crepidotus sphaerosporus,1065616,-,-,T
Umezawaea endophytica,5643650,-,-,T
Nephroselmidophyceae,1038762,-,-,T
Aspergillus tamarii,955220,-,-,T
Alkaliflexus imshenetskii,443310,-,-,T
Tylopilus porphyrosporus,3835488,-,-,T
Dactylis glomerata,83469,-,-,T
Ilyonectria sp. 2 AC-2011,843782,-,-,F
Halogranum gelatinilyticum,274939,-,-,F
Achromatium minus,257622,-,-,T
Cronobacter sakazakii,935497,-,-,T
Acaulospora brasiliensis,770055,-,-,T
Filobasidium floriforme,133077,-,-,T
Vibrio alginolyticus,232170,-,-,T
Peziza domiciliana,556531,-,-,T
Macrosiphum euphorbiae,362108,-,-,T
Placoneis hambergii,1098604,-,-,T
Phyllochaetopterus socialis,618217,-,-,T
Kamienskia perpusilla,5362599,-,-,T
Nesameletus sp. SW-2008,447461,-,-,T
Caddella sp. 1 SG-2014,5511714,-,-,F
Granulicella paludicola,944878,-,-,T
Lentzea waywayandensis,27539,-,-,T
Zeaxanthinibacter enoshimensis,569195,-,-,T
Promicromonosporaceae,856874,-,-,T
Myrmecridium phragmitis,266113,-,-,T
Aquitalea denitrificans,343505,-,-,T
Synura uvella,618760,-,-,T
Methanomassiliicoccaceae,5580306,-,-,T
Pelistega suis,5619818,-,-,T
Mycetophilidae,1008047,T,ott199311,T
Aposphaeria corallinolutea,928519,-,-,T
Conidiobolus lamprauges,178190,-,-,T
Rhizobium sp. TCK,1060290,-,-,F
Stagonospora sp. DM,5978422,-,-,T
Nectriopsis rexiana,7518290,-,-,T
Pseudomonas argentinensis,249998,-,-,T
Ciboria aestivalis,3714746,-,-,T
Armillaria nabsnona,341622,-,-,T
Coniochaetaceae,812336,-,-,T
Trischistoma monohystera,560379,-,-,T
Propionibacteriales,282090,T,mrcaott73ott8022,T
Monascus purpureus,376359,-,-,T
Parvibaculum sp. MBNA2,1062569,-,-,F
Enterococcus hirae,594508,-,-,T
Coxiella cheraxi,1075609,-,-,T
Ferrimonas sp. A3B-64-2,529367,-,-,T
Chaetosphaeria sp. TMS-2011,948741,-,-,F
Rubricoccaceae,5886373,-,-,F
Micractinium sp. NIES-151,429211,-,-,F
Atheta brunneipennis,5837356,-,-,T
Melica bulbosa,271613,-,-,T
Pseudosiderastrea tayami,7507399,-,-,T
Fluviicola sp. THG-D9,5615231,-,-,F
Cryptosporidium meleagridis,127590,-,-,T
Anaerolineae,974241,-,-,T
Prasiolales,94363,-,-,T
Acidaminobacter sp. CJ5,1074612,-,-,T
Asterionellopsis guyunusae,5398346,-,-,T
Mycena pelianthina,375082,-,-,T
Rhizoclosmatium sp. JEL347-h,958912,-,-,F
Gonium pectorale,361837,-,-,T
Pedobacter sp. FGR-05,5615273,-,-,F
Ramichloridium indicum,626713,-,-,T
Terrimonas rhizosphaerae,222300,-,-,T
Insecta,1062253,-,-,T
Phomopsis sp. E9622C,649223,-,-,F
Terebellidae,106108,-,-,T
Phialophora sp. C16,696407,-,-,T
Clostridium sp. FG4,222516,-,-,F
Cyberlindnera jadinii,284117,-,-,T
Alternaria geniostomatis,817160,-,-,T
Entorrhiza aschersoniana,1045807,-,-,T
Hydra circumcincta,149372,-,-,T
Thermanaerovibrio velox,160358,-,-,T
Crangonyx subterraneus,1030843,-,-,T
Vishniacozyma carnescens,101361,-,-,T
Conexibacter arvalis,418825,-,-,T
Hydnophora exesa,337254,-,-,T
Devosia submarina,8346,-,-,T
Granulicella tundricola,1098766,-,-,T
Skeletonema dohrnii,810367,-,-,T
Heliimonas saccharivorans,4768376,-,-,T
Staphylinidae,431234,T,mrcaott405ott3715,T
Schizothecium inaequale,880455,-,-,T
Thalassiosira aestivalis,1015035,-,-,T
Stauroneis anceps,1098602,-,-,T
Lopadostoma americanum,5482408,-,-,T
Planococcus sp. BJGMM-B14,976008,-,-,T
Alfaria terrestris,6379701,-,-,T
Dunaliella salina,347103,-,-,T
Sporidiobolus salmonicolor,889809,-,-,T
Chitinophaga sp. MJM 38,5383424,-,-,F
Hyphomicrobium vulgare,598153,-,-,T
Listeria monocytogenes,1038312,T,mrcaott6297ott10816,T
Achlya radiosa,98330,-,-,T
Lagenidium sp. PWL-2010f,340777,-,-,F
Jania sagittata,131849,-,-,T
Disciseda candida,192637,-,-,T
Haliangium ochraceum,652441,-,-,T
Catabacter hongkongensis,944069,-,-,T
Deefgea sp.,784358,-,-,T
Wiesneriomyces laurinus,4094244,-,-,T
Chlamydomonas sp. MACC 835,7042201,-,-,F
Cystobacter fuscus,872689,-,-,T
Balneolaceae,5913266,-,-,F
Pteromonas protracta,727977,-,-,T
Clostridium sp. 6-44,215014,-,-,F
Tomentellopsis bresadoliana,920256,-,-,T
Bradyrhizobium sp. ISA0406,5283578,-,-,F
Cavicella subterranea,5238884,-,-,T
Lysobacter sp. DNG7,509109,-,-,F
Cistella sp.,1059614,-,-,T
Penicillium corylophilum,724251,-,-,T
Cryptococcus sp. 2256 FePP,5985497,-,-,F
Nannochloris sp. MBTD-CMFRI-S048,5584625,-,-,F
Zymoseptoria passerinii,906429,-,-,T
Penicillium atramentosum,840879,-,-,T
Chlamydomonas sp. CCAP 11/139,1046130,-,-,F
Paenibacillus sp. W1.09-40,5243085,-,-,F
Lysinibacillus endophyticus,7018865,-,-,T
Valsaria spartii,3698509,-,-,T
Aquamicrobium aestuarii,343823,-,-,T
Verrucomicrobium spinosum,453935,-,-,T
Premilcurensis senecionis,5978418,-,-,T
Funneliformis coronatum,219924,-,-,T
Gastrophysa viridula,535625,-,-,T
Aspergillus udagawae,5310655,-,-,T
Preussia sp.,227035,-,-,T
Ulva pertusa,375206,-,-,T
Alcaligenaceae,324575,T,mrcaott89ott90,T
Arenicella xantha,4788184,-,-,T
Thermoactinomyces khenchelensis,5369282,-,-,T
Bradyrhizobiaceae,810830,-,-,T
Bannoa hahajimensis,731832,-,-,T
Hebeloma plesiocistum,1082470,-,-,T
Gemmata sp. Br1-2,329476,-,-,T
Desulfobulbus sp. McCal 25m,None,-,-,F
Steroidobacter denitrificans,875594,-,-,T
Ulva taeniata,876076,-,-,T
Pedinomonas sp. UTEX LB 1027,None,-,-,F
Lachnocladiaceae,989768,T,mrcaott109ott9895,T
Aneurinibacillus aneurinilyticus,5893996,-,-,T
Rhinocladiella anceps,436311,-,-,T
Pibocella sp. UDC543,311244,-,-,T
Pilidium concavum,181908,-,-,T
Cladorrhinum flexuosum,5316564,-,-,T
Acetobacteraceae,551974,-,-,T
Thelonectria veuillotiana,516295,-,-,T
Anomobryum gemmigerum,384508,-,-,T
Nocardioides immobilis,7004649,-,-,T
Cellvibrionaceae,5575234,-,-,F
Chytriodinium sp. Atlantic,5663420,-,-,T
Colpodidae,129113,-,-,F
Stereum sanguinolentum,333719,-,-,T
Parastagonospora forlicesenica,7513656,-,-,T
Marinobacter hydrocarbonoclasticus,564407,-,-,T
Coenochloris signiensis,530747,-,-,F
Thiomicrospira sp.,530935,-,-,T
Chloromonas oogama,112010,-,-,T
Scutellinia sp. NEFU36,5452994,-,-,T
Conocybe nitrophila,5983646,-,-,T
Alternaria scirpicola,5318824,-,-,T
Anopheles culicifacies,624723,-,-,T
Scutacaridae,105541,-,-,T
Bacillus sp. IDA1442,734341,-,-,F
Cladosporium sphaerospermum,128631,-,-,T
Collarina aurantiaca,5709802,-,-,T
Drechslera poae,634701,-,-,T
Liliopsida,1058517,-,-,T
Powellomyces hirtus,306895,-,-,T
Lectera colletotrichoides,683080,-,-,T
Xylodon apacheriensis,3804864,-,-,T
Marivirga sp.,967893,-,-,T
Capronia epimyces,360990,-,-,T
Telestula cf. spiculicola SCF-2009,494863,-,-,T
Pandanales,17708,-,-,T
Lithophyllum margaritae,4009580,-,-,T
Verrucocladosporium dirinae,528425,-,-,T
Tricholoma leucophyllum,332243,-,-,T
Berkleasmium sp. N81,5696897,-,-,F
Halophytophthora epistomium,897908,-,-,T
Pythium insidiosum,120638,-,-,T
Amaricoccus kaplicensis,142051,-,-,T
Lactobacillus plantarum,337286,-,-,T
Caldicoprobacter algeriensis,484301,-,-,T
Spirosoma sp.,453312,-,-,T
Microbacterium phyllosphaerae,1059388,-,-,T
Yamadazyma sp. DMKU-CE23,5674133,-,-,T
Chryseobacterium halperniae,27111,-,-,T
Clostridium sp. AN-BS1C,194008,-,-,T
Pythium sp. LY221g,4028830,-,-,F
Trichosporon asahii,594659,-,-,T
Limonomyces roseipellis,173733,-,-,T
Sagenomella humicola,709986,-,-,T
Enterobacter sp. PG132S,4756540,-,-,T
Pelomonas sp. CR2,1042798,-,-,F
Granulicella aggregans,419071,-,-,T
Claroideoglomus etunicatum,464858,-,-,T
Opephora sp. s0357,407287,-,-,T
Geoglossum nigritum,950343,-,-,T
Lacibacterium sp.,5361604,-,-,F
Halorhodospira neutriphila,6385,-,-,T
Scedosporium boydii,3702592,-,-,T
Acidicapsa sp.,275276,-,-,T
Neidium affine,593705,-,-,T
Arcobacter acticola,5904613,-,-,T
Oithona sp. 1 New Caledonia-RJH-2001,200318,-,-,F
Turicibacter sp. H121,5896116,-,-,F
Pedospumella sp. JBM19,7561418,-,-,F
Sigarispora coronillae,5978259,-,-,T
Rhizoctonia sp. 263,264989,-,-,F
Flavobacterium anseonense,607188,-,-,T
Pseudodesulfovibrio indicus,5904518,-,-,T
Plagioselmis prolonga,435980,-,-,T
Phlebia centrifuga,5299673,-,-,T
Aporrectodea longa,128733,-,-,T
Bryometopus sphagni,360257,-,-,T
Nectria sp. F58,221660,-,-,T
Lysinibacillus fusiformis,776813,-,-,T
Stakelama sediminis,754036,-,-,T
Chlamydomonas sp. CCAP 11/158,307488,-,-,F
Caldovatus sediminis,7026411,-,-,T
Phoma pereupyrena,576961,-,-,T
Desulfovibrio hydrothermalis,657507,-,-,T
Euthora timburtonii,213965,-,-,T
Takayama acrotrocha,1044875,-,-,T
Cladorrhinum foecundissimum,587376,-,-,T
Chromatium weissei,1061816,-,-,T
Udeniomyces pyricola,63850,-,-,T
Pterosiphonia gracilis,372531,-,-,T
Leptolinea sp. enrichment culture clone Y223,None,-,-,F
Paraglomeraceae,398097,-,-,T
Ustilaginaceae,809218,T,mrcaott9098ott13162,T
Marinobacter sp. Mi 8,5377788,-,-,F
Aspergillus xerophilus,872968,-,-,T
Chaetoceros sp. MBTD-CMFRI-S062,4026029,-,-,F
Rheinheimera aquatica,121080,-,-,T
Synchaetomella acerina,285268,-,-,F
Trichoderma longipile,449303,-,-,T
Azonexus hydrophilus,720093,-,-,T
Desulfobacterium indolicum,58120,-,-,T
Desulfomicrobium apsheronum,148659,-,-,T
Spheciospongia vesparium,771786,-,-,T
Nocardioides sp. W1S3,5643829,-,-,F
Bovista plumbea,932607,-,-,T
Graphis lineola,3786412,-,-,T
Anaerocella delicata,4768157,-,-,T
Actinoplanes durhamensis,384996,-,-,T
Cryptomonadaceae,303538,-,-,F
Winogradskyella sp. RHA_55,29102,-,-,F
Pyropia haitanensis,314016,-,-,T
Paracoccus sp. KJF6-16,626131,-,-,T
Coniosporium sp.,233635,-,-,T
Pleurosigmataceae,518854,-,-,F
Aquisalimonas sp. K25-9C,824499,-,-,T
Chitinispirillum alkaliphilum,4753658,-,-,T
Methylobacterium soli,434237,-,-,T
Lactarius yazooensis,984215,-,-,T
Lysinibacillus sphaericus,1084905,-,-,T
Pelobacter sp. DSM 2984,7030870,-,-,F
Conochilus hippocrepis,1039708,-,-,T
Fulvivirga sp. Bac274,5886352,-,-,T
Cochliatoxum periachtum,1038498,-,-,T
Teleophrys cristulipes,4667498,-,-,T
Geobacter sp.,343177,-,-,T
Pseudo-nitzschia abrensis,5261686,-,-,T
Thauera aromatica,392082,-,-,T
Hemicytherura kajiyamai,736376,-,-,F
Trichosporon sp. shinodae,None,-,-,F
Parmelia sp. Hur R0090039,536203,-,-,F
Citromicrobium sp. CR-25,5901264,-,-,F
Pleuridium acuminatum,40186,-,-,T
Metarhizium granulomatis,893648,-,-,T
Pseudoalteromonas sp. Bsi20492,612218,-,-,F
Devosia sp. BFE1G,5640287,-,-,F
Fusarium cf. avenaceum HY046-07,51343,-,-,F
Rhopalodia gibba,322245,-,-,T
Wolfina aurantiopsis,807466,-,-,T
Minimelanolocus obscurus,4091024,-,-,T
Diaporthe citri,855276,-,-,T
Chilodochona carcini,2828906,-,-,T
Candidatus Dactylopiibacterium carminicum,909618,-,-,T
Melosira ambiqua,235499,-,-,T
Katharina tunicata,837687,-,-,T
Halomonas zincidurans,444131,-,-,T
Haplothrips tenuipennis,5971679,-,-,T
Prosthecobacter fluviatilis,390992,-,-,T
Inocybe acriolens,3809326,-,-,T
