fam_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Flosculariidae,681210,-,-,Leaf
Deinococcaceae,577715,-,-,Leaf
Albatrellaceae,684071,T,mrcaott82940ott140762,Leaf
Haliphthoraceae,896048,-,-,False
Chlorociboriaceae,6379217,-,-,False
Sordariaceae,572453,-,-,Leaf
Gonostomatidae,7528843,-,-,False
Stephanoecidae,349984,-,-,Leaf
Amphidomataceae,57001,-,-,Leaf
Teratosphaeriaceae,234186,T,mrcaott235ott6545,Node
Sandaracinaceae,203809,-,-,Leaf
Isosphaeraceae,5896423,-,-,Leaf
Achnanthaceae,166701,-,-,False
Klebsormidiaceae,799388,-,-,Leaf
Oikomonadaceae,997595,-,-,False
Symbiodiniaceae,76229,-,-,False
Phallaceae,595719,T,mrcaott14806ott30573,Leaf
Ophiocordycipitaceae,419068,T,ott971709,Node
Solibacteraceae,1040234,-,-,False
Onuphidae,1025751,T,mrcaott42379ott140961,Node
Bacteroidaceae,41369,T,mrcaott13148ott24308,Leaf
Aphanothecaceae,5575172,-,-,False
Coniophoraceae,404713,T,mrcaott109ott9895,Node
Atheliaceae,537242,T,mrcaott109ott9895,Node
Thigmophryidae,4029809,-,-,Leaf
Cortinariaceae,5344590,T,ott1012685,Node
Aspidiscidae,700383,-,-,False
Vannellidae,780586,-,-,False
Angulomycetaceae,3685328,-,-,Leaf
Oxalobacteraceae,1036630,-,-,Leaf
Acanthamoebidae,164913,-,-,False
Coniothyriaceae,5345468,-,-,Leaf
Lentitheciaceae,866123,-,-,Leaf
Phaffomycetaceae,529465,-,-,Leaf
Erysipelotrichaceae,5248084,T,mrcaott4061ott167751,Leaf
Paraglomeraceae,398097,-,-,Leaf
Bionectriaceae,1038708,T,ott971709,Node
Clupeidae,175436,T,ott5541314,Leaf
Tubeufiaceae,1051949,-,-,Leaf
Sympoventuriaceae,5345111,-,-,Leaf
Veillonellaceae,90757,T,ott272720,Leaf
Bothrioplanidae,257325,-,-,Leaf
Beroidae,570649,-,-,Leaf
Corticiaceae,464881,T,mrcaott109ott33764,Node
Chytridiaceae,319466,T,mrcaott43479ott155498,Node
Lasiosphaeriaceae,234778,-,-,Leaf
Sargassaceae,1022962,-,-,Leaf
Desulfovibrionaceae,385234,-,-,Leaf
Phlaeothripidae,788835,-,-,Leaf
Urechidae,954047,-,-,Leaf
Peniophoraceae,377012,T,mrcaott109ott9895,Node
Fossombroniaceae,54102,-,-,Leaf
Thermomonosporaceae,1050974,T,mrcaott1403ott8433,Node
Haliscomenobacteraceae,7010595,-,-,False
Cytheruridae,212764,-,-,Leaf
Phyllophoraceae,411728,-,-,False
Halomonadaceae,578817,-,-,Leaf
Schizosaccharomycetaceae,990009,-,-,Leaf
Poaceae,508090,-,-,Leaf
Neidiaceae,72354,-,-,False
Lamiaceae,544714,-,-,Leaf
Lyophyllaceae,1048880,-,-,Leaf
Minutisphaeraceae,5683049,-,-,False
Alphamycetaceae,752067,-,-,Leaf
Piskurozymaceae,5985468,-,-,Leaf
Cyrtolophosididae,209364,-,-,Leaf
Oceanospirillaceae,767327,-,-,Leaf
Bogoriellaceae,118091,-,-,Leaf
Sinobacteraceae,5912707,-,-,False
Prayidae,619449,T,mrcaott15308ott110785,Node
Synergistaceae,437906,-,-,Leaf
Mesostigmataceae,469250,-,-,Leaf
Oleaceae,23723,-,-,Leaf
Thraustochytriaceae,164906,-,-,Leaf
Tobrilidae,5000230,-,-,Leaf
Amoebophilaceae,5586154,-,-,False
Histionidae,1051899,-,-,False
Dothideaceae,708964,-,-,Leaf
Entomophthoraceae,167672,-,-,Leaf
Myriangiaceae,295792,-,-,Leaf
Kriegeriaceae,661204,-,-,Leaf
Pseudeurotiaceae,555371,-,-,False
Hominidae,770311,T,ott842867,Leaf
Botrydiaceae,795537,-,-,Leaf
Coleofasciculaceae,5586461,-,-,False
Plasmodiophoridae,680235,-,-,False
Polynoidae,1067347,-,-,Leaf
Thecamoebida,526383,-,-,Leaf
Cercomonadidae,554898,-,-,Leaf
Didymosphaeriaceae,81518,-,-,Leaf
Pleurosigmataceae,518854,-,-,False
Neochloridaceae,132568,-,-,Leaf
Naviculaceae,172205,-,-,False
Bdellovibrionaceae,469981,-,-,Leaf
Paraphysomonadaceae,783304,-,-,False
Methylobacteriaceae,139533,T,mrcaott1492ott5822,Node
Psathyrellaceae,934913,T,mrcaott8756ott14578,Leaf
Acanthoecidae,726081,-,-,Leaf
Caldilineaceae,533636,-,-,Leaf
Legeriomycetaceae,463510,-,-,Leaf
Litonotidae,215592,-,-,False
Stereaceae,934885,T,mrcaott471ott5265,Node
Rhodomelaceae,674033,-,-,False
Rhizopodaceae,4925961,-,-,Leaf
Corynidae,641026,-,-,Leaf
Amphisiellidae,84486,-,-,False
Delesseriaceae,762359,-,-,False
Colpodidae,129113,-,-,False
Marasmiaceae,371255,T,ott1012685,Node
Archangiaceae,939421,T,mrcaott31613ott60668,Node
Cymbellaceae,974009,-,-,False
Lecudinidae,227376,-,-,False
Kreyellidae,932226,-,-,False
Sanchytriaceae,7510639,-,-,False
Sporichthyaceae,805873,-,-,Leaf
Polykrikaceae,671275,-,-,False
Paracalanidae,350914,-,-,Leaf
Dothioraceae,1025079,-,-,Leaf
Shewanellaceae,1039354,-,-,Leaf
Heterocapsaceae,416759,-,-,False
Frontoniidae,627608,-,-,False
Thermomicrobiaceae,1085867,-,-,Leaf
Sphingomonadaceae,810820,T,ott800600,Node
Asplanchnidae,251965,-,-,Leaf
Verrucariaceae,525957,-,-,Leaf
Amaurobiidae,508531,T,mrcaott33580ott33585,Leaf
Balneolaceae,5913266,-,-,False
Lineidae,971430,-,-,Leaf
Chitinispirillaceae,5890864,-,-,Leaf
Catenariaceae,858859,T,mrcaott235997ott747554,Leaf
Desulfuromonadaceae,726990,T,mrcaott11138ott11151,Node
Chaetocerotaceae,1075857,-,-,False
Cafeteriaceae,1045828,-,-,False
Phacidiaceae,164634,-,-,Leaf
Hymenobacteraceae,5886300,-,-,False
Euplotidae,975960,-,-,False
Adeleidae,389668,-,-,Leaf
Hyalospheniidae,634872,T,mrcaott61627ott113246,Node
Hartmannellidae,68592,-,-,False
Entomoneidaceae,477453,-,-,False
Urostylidae,1060044,-,-,False
Vacuolariaceae,936630,-,-,False
Microascaceae,464774,-,-,Leaf
Methylocystaceae,592899,-,-,Leaf
Nakamurellaceae,805878,-,-,Leaf
Actinochloridaceae,967446,-,-,Leaf
Sorogenidae,9196,-,-,False
Crenotrichaceae,38,-,-,Leaf
Trinematidae,875559,-,-,Leaf
Marinilabiliaceae,7007831,-,-,False
Desulfomicrobiaceae,35689,-,-,Leaf
Katablepharidaceae,269577,-,-,Leaf
Chaetophoraceae,361849,-,-,Leaf
Francisellaceae,912359,-,-,Leaf
Pteridaceae,164361,-,-,Leaf
Taeniacanthidae,644816,T,mrcaott92633ott834287,Leaf
Myxotrichaceae,84168,-,-,False
Trichomeriaceae,5345482,-,-,Leaf
Gonatozygaceae,684006,-,-,Leaf
Tubificidae,318890,-,-,Leaf
Ceratocystidaceae,826618,T,ott971709,Node
Rhodobacteraceae,19981,T,mrcaott89ott721,Node
Desmidiaceae,439259,-,-,Leaf
Sphaerozoidae,566624,-,-,False
Candidatus Brocadiaceae,454953,-,-,Leaf
Orbiliaceae,293786,-,-,Leaf
Rubrobacteraceae,132813,-,-,False
Lachnospiraceae,16694,T,mrcaott725ott1456,Node
Phycisphaeraceae,822784,-,-,Leaf
Nemesiidae,846217,-,-,Leaf
Wenzhouxiangellaceae,5580738,-,-,Leaf
Chlorococcaceae,129601,-,-,Leaf
Gomontiellaceae,4016284,-,-,False
Chrysozymaceae,5985654,-,-,False
Septobasidiaceae,758159,-,-,False
Lagenidiaceae,469397,-,-,False
Bradyrhizobiaceae,810830,-,-,Leaf
Rhizophydiaceae,894419,-,-,Leaf
Amphipleuraceae,257726,-,-,False
Ktedonobacteraceae,818909,-,-,Leaf
Tulasnellaceae,183806,-,-,Leaf
Plocamiaceae,510355,-,-,False
Ulotrichaceae,603,-,-,Leaf
Onygenaceae,958144,T,mrcaott7943ott58011,Node
Cephalothecaceae,649020,-,-,Leaf
Gallionellaceae,548549,-,-,Leaf
Streptococcaceae,175916,-,-,Leaf
Chthamalidae,663620,T,mrcaott6741ott6742,Leaf
Geoglossaceae,34358,-,-,Leaf
Piscicolidae,251556,-,-,Leaf
Saprolegniaceae,827185,-,-,False
Scytosiphonaceae,303539,-,-,Leaf
Cytophagaceae,25,T,ott427259,Node
Chytriomycetaceae,5219615,-,-,Leaf
Rhizophlyctidaceae,5219619,-,-,Leaf
Polygonaceae,904376,-,-,Leaf
Thelephoraceae,607536,-,-,Leaf
Salicaceae,530183,-,-,Leaf
Didymiaceae,41196,T,ott1064655,Node
Acidiferrobacteraceae,5587967,-,-,False
Dicranophoridae,513189,-,-,Leaf
Nocardioidaceae,856867,T,mrcaott7026ott12648,Leaf
Styelidae,103750,-,-,Leaf
Melanogastraceae,82495,-,-,False
Haematococcaceae,391062,-,-,Leaf
Fissidentaceae,981711,-,-,Leaf
Carnobacteriaceae,68422,T,mrcaott975ott4059,Leaf
Enchelyidae,1013765,-,-,False
Sporormiaceae,335006,-,-,Leaf
Cunninghamellaceae,887966,-,-,Leaf
Cupressaceae,620757,-,-,Leaf
Flammeovirgaceae,494050,T,mrcaott4495ott4998,Node
Acetobacteraceae,551974,-,-,Leaf
Halieaceae,4790589,-,-,False
Provorticidae,343603,-,-,Leaf
Peptococcaceae,16701,T,mrcaott2035ott5991,Node
Oxytrichidae,1060048,-,-,Leaf
Plectosphaerellaceae,989246,T,ott971709,Node
Rhodothermaceae,519779,-,-,Leaf
Melanommataceae,566526,-,-,Leaf
Bryobacteraceae,7001977,-,-,Leaf
Trueperaceae,557746,-,-,Leaf
Kallotenuaceae,5580351,-,-,Leaf
Chaetopeltidaceae,311484,-,-,Leaf
Stemonitidae,1037479,-,-,Leaf
Saccotheciaceae,5347805,-,-,False
Malawimonadidae,935430,-,-,False
Chaetomellaceae,5980351,-,-,Leaf
Serendipitaceae,5674334,-,-,Leaf
Typhloplanidae,110831,-,-,Leaf
Metschnikowiaceae,668443,-,-,Leaf
Pseudourostylidae,425255,-,-,False
Lycoperdaceae,558970,-,-,False
Leptomyxidae,739236,-,-,False
Irpicaceae,7525476,-,-,False
Ovulinatidae,166755,-,-,Leaf
Holophagaceae,684987,-,-,Leaf
Sabellidae,992906,-,-,Leaf
Chitinophagaceae,1097171,-,-,Leaf
Polytrichaceae,821352,-,-,Leaf
Warnowiaceae,821615,-,-,False
Calditrichaceae,7017257,-,-,False
Ditrichaceae,195711,T,mrcaott1769ott87462,Node
Myzocytiopsidaceae,300184,-,-,False
Aspergillaceae,5261956,-,-,False
Primnoidae,84508,-,-,Leaf
Cryptodifflugiidae,134340,-,-,Leaf
Loxocephalidae,790730,-,-,False
Helotiaceae,121698,T,ott51652,Node
Sabellariidae,336912,-,-,Leaf
Extremaceae,5682981,-,-,Leaf
Oligoflexaceae,5580875,-,-,False
Burkholderiaceae,190168,T,mrcaott90ott41935,Node
Diversisporaceae,1059385,-,-,Leaf
Dysteriidae,1037212,-,-,False
Sporomusaceae,5896178,-,-,False
Tepidisphaeraceae,5896417,-,-,Leaf
Selenastraceae,441643,-,-,Leaf
Syndiniaceae,9043,-,-,False
Tetragoniomycetaceae,5260755,-,-,Leaf
Labyrinthulaceae,5343245,-,-,False
Alicyclobacillaceae,68428,-,-,Leaf
Hemiselmidaceae,491173,-,-,False
Mycenaceae,4105661,T,mrcaott109ott206,Node
Competibacteraceae,5247843,-,-,False
Thioprofundaceae,7032695,-,-,False
Pfiesteriaceae,594794,-,-,False
Peptostreptococcaceae,16707,T,mrcaott216ott19969,Leaf
Syllidae,881665,-,-,Leaf
Ajellomycetaceae,641832,-,-,Leaf
Lecanidae,404255,-,-,Leaf
Dictyonellidae,738878,T,mrcaott8837ott93865,Node
Lophiostomataceae,659815,-,-,Leaf
Rhogostomidae,7529863,-,-,False
Ceramiaceae,629558,-,-,False
Saccharospirillaceae,17900,-,-,Leaf
Phaeosphaeriaceae,581434,T,ott18194,Node
Parameciidae,106159,-,-,False
Skeletonemataceae,748247,-,-,False
Ceratostomataceae,281842,-,-,Leaf
Gigasporaceae,4815,-,-,Leaf
Xylariaceae,44252,-,-,Leaf
Gomphonemataceae,1033660,-,-,False
Bacillaceae,589414,T,mrcaott184ott216,Node
Moraxellaceae,134473,T,mrcaott1093ott2355,Node
Placospongiidae,368916,-,-,Leaf
Archaeosporaceae,348833,-,-,Leaf
Fabaceae,560323,-,-,Leaf
Sellaphoraceae,548612,-,-,False
Zoogloeaceae,7030372,-,-,Leaf
Chlorellaceae,441644,T,mrcaott39418ott84763,Leaf
Trichosphaeriaceae,123364,-,-,Leaf
Helvellaceae,332569,-,-,Leaf
Blastocladiaceae,469426,T,mrcaott67172ott235997,Node
Pyrinomonadaceae,7002016,-,-,False
Sporocadaceae,5982737,-,-,False
Eustigmataceae,423014,-,-,False
Opitutaceae,384336,-,-,Leaf
Phanerochaetaceae,7505,-,-,Leaf
Lactobacillaceae,445856,T,mrcaott4345ott8579,Leaf
Chilodonellidae,628626,-,-,False
Thermoanaerobacteraceae,589411,T,mrcaott184ott2035,Node
Microbulbiferaceae,5587892,-,-,False
Basidiobolaceae,887959,-,-,Leaf
Leptolyngbyaceae,5586450,-,-,False
Frankiaceae,212307,-,-,Leaf
Nitrosopumilaceae,933985,-,-,False
Glaucocystaceae,664968,-,-,Leaf
Mischococcaceae,126679,-,-,False
Euglyphidae,247673,T,mrcaott15830ott15841,Node
Tolypothrichaceae,1072898,-,-,False
Bangiaceae,864269,-,-,Leaf
Notommatidae,71917,-,-,Leaf
Allapsidae,4005476,-,-,False
Ancyromonadidae,415970,-,-,False
Dictyochloridaceae,5602198,-,-,Leaf
Eremomycetaceae,548954,-,-,False
Rubiaceae,1014022,-,-,Leaf
Aurantimonadaceae,318334,-,-,Leaf
Phyllobacteriaceae,46389,T,mrcaott89ott2460,Node
Nowakowskiellaceae,5394876,-,-,Leaf
Plectidae,520552,-,-,Leaf
Pseudokeronopsidae,790715,-,-,False
Glomerellaceae,155152,-,-,Leaf
Calanidae,461532,T,mrcaott6062ott17168,Node
Durvillaeaceae,9570,-,-,Leaf
Leptospiraceae,379258,-,-,Leaf
Piptocephalidaceae,157880,-,-,Leaf
Woeseiaceae,5906025,-,-,Leaf
Porphyridiaceae,202888,-,-,False
Stylonemataceae,680420,-,-,Leaf
Anaeromyxobacteraceae,5588715,-,-,False
Pythiogetonaceae,398393,-,-,Leaf
Acholeplasmataceae,874208,-,-,Leaf
Hyphochytriaceae,910104,-,-,False
Rickettsiaceae,50817,-,-,Leaf
Acanthocystidae,203539,-,-,Node
Rhodospirillaceae,810826,T,mrcaott143ott13668,Leaf
Sphenoderiidae,5288603,-,-,Leaf
Stephanopyxidaceae,86156,-,-,False
Mallomonadaceae,112623,-,-,Leaf
Desulfobacteraceae,774775,-,-,Leaf
Alariaceae,878348,-,-,Leaf
Chattonellaceae,936627,-,-,False
Streptomycetaceae,700213,T,mrcaott73ott292,Node
Cyanidiaceae,696106,-,-,False
Laminariaceae,266749,-,-,Leaf
Pseudoperisporiaceae,870738,-,-,False
Pavlovaceae,928313,-,-,False
Candidatus Paracaedibacteraceae,5900983,-,-,Leaf
Scarabaeidae,340559,T,mrcaott2288ott2290,Leaf
Agaricostilbaceae,1021896,T,mrcaott23276ott23291,Node
Mamiellaceae,300512,-,-,Leaf
Lynchellidae,331252,-,-,False
Amphileptidae,1013756,-,-,False
Ulvellaceae,1018102,-,-,Leaf
Xanthobacteraceae,253957,-,-,Leaf
Coniochaetaceae,812336,-,-,Leaf
Dehalococcoidaceae,438716,-,-,Leaf
Polyangiaceae,872663,-,-,Leaf
Cyprididae,341236,-,-,Leaf
Gymnoascaceae,84169,T,mrcaott7943ott7946,Node
Bacillariaceae,173955,-,-,False
Colwelliaceae,462335,-,-,Leaf
Platanaceae,62537,-,-,Leaf
Conochilidae,1039705,-,-,Leaf
Acidobacteriaceae,220312,-,-,False
Pseudocharaciopsidaceae,423012,-,-,False
Sterolibacteriaceae,7030308,-,-,False
Hydrophyllaceae,147029,T,ott5261925,Leaf
Apusomonadidae,575898,-,-,Leaf
Pezizaceae,880965,-,-,Leaf
Fusobacteriaceae,479548,-,-,Leaf
Torulaceae,5348390,-,-,False
Gonyaulacaceae,850166,T,mrcaott5244ott8394,Node
Bakuellidae,4030697,-,-,False
Rhynchogastremataceae,4107398,-,-,Leaf
Spongomonadidae,5282540,-,-,Leaf
Trichomonascaceae,1073640,-,-,Leaf
Botryosphaeriaceae,33903,T,ott641496,Node
Triceratiaceae,85894,-,-,False
Mycocaliciaceae,1066510,-,-,Leaf
Hydrodictyaceae,425644,-,-,Leaf
Isotomidae,487389,-,-,Leaf
Ophiostomataceae,1099024,T,ott971709,Node
Capnodiaceae,295196,-,-,Leaf
Agaricaceae,8360,T,ott1012685,Node
